name,amp,mass,material,library,bounciness
shoebox_fused,0.03,0.1,hardwood,metadata_libraries/containers.json,0.2
sphere,0.2,0.08,cardboard,metadata_libraries/container_contents.json,0.4
cone,0.01,0.08,metal,metadata_libraries/container_contents.json,0.4
napoleon_iii_sofa,0.01,90,cardboard,models_core.json,0.2
blue_side_chair,0.1,20,wood,models_core.json,0.6
rh10,0.1,4,wood,models_core.json,0.58
sm_table_white,0.1,130,ceramic,models_core.json,0.625
vitra_meda_chair,0.02,35,wood,models_core.json,0.58
macbook_air,0.01,0.2,cardboard,models_core.json,0.7
jug05,0.1,3,ceramic,models_core.json,0.6
woven_box,0.1,0.6,wood,models_core.json,0.2
trunck,0.01,275,wood,models_core.json,0.58
sayonara_sofa,0.01,220,cardboard,models_core.json,0.2
arflex_hollywood_sofa,0.01,220,cardboard,models_core.json,0.2
rope_table_lamp,0.04,1,metal,models_core.json,0.35
duffle_bag,0.02,5,hardwood,models_core.json,0.5
shark,0.01,0.1,cardboard,models_core.json,0.7
coffee_table_glass_round,0.1,80,glass,models_core.json,0.5
puzzle_box_composite,0.05,0.2,hardwood,"models_core.json",0.2
